distance,time,phase
2654.6190370460736,2025-03-18 09:01:28.836821045,P
2747.438575690731,2025-03-18 09:01:28.836821045,P
2724.233691029566,2025-03-18 09:01:28.836821045,P
2708.7637679221234,2025-03-18 09:01:28.836821045,P
2701.028806368402,2025-03-18 09:01:28.836821045,P
2693.2938448146806,2025-03-18 09:01:28.836821045,P
2685.558883260959,2025-03-18 09:01:28.836821045,P
2670.0889601535164,2025-03-18 09:01:28.836821045,P
2639.1491139386308,2025-03-18 09:01:28.836821045,P
1834.713112351603,2025-03-18 09:01:28.836821045,P
1819.2431892441602,2025-03-18 09:01:28.836821045,P
3652.4290774761366,2025-03-18 09:01:28.836821045,P
1796.038304582996,2025-03-18 09:01:28.836821045,P
2043.5570743020814,2025-03-18 09:01:28.836821045,P
2035.82211274836,2025-03-18 09:01:28.836821045,P
2020.3521896409172,2025-03-18 09:01:28.836821045,P
2004.8822665334744,2025-03-18 09:01:28.836821045,P
2623.679190831188,2025-03-18 09:01:28.836821045,P
1997.147304979753,2025-03-18 09:01:28.836821045,P
1950.7375356574244,2025-03-18 09:01:28.836821045,P
1919.7976894425387,2025-03-18 09:01:28.836821045,P
1896.5928047813745,2025-03-18 09:01:28.836821045,P
1881.1228816739317,2025-03-18 09:01:28.836821045,P
1865.652958566489,2025-03-18 09:01:28.836821045,P
1850.183035459046,2025-03-18 09:01:28.836821045,P
1966.2074587648674,2025-03-18 09:01:28.836821045,P
3636.959154368694,2025-03-18 09:01:28.836821045,P
3644.694115922415,2025-03-18 09:01:28.836821045,P
1772.8334199218318,2025-03-18 09:01:28.836821045,P
2577.2694215088595,2025-03-18 09:01:28.836821045,P
2554.0645368476953,2025-03-18 09:01:28.836821045,P
2530.859652186531,2025-03-18 09:01:28.836821045,P
2492.1848444179236,2025-03-18 09:01:28.836821045,P
2468.9799597567594,2025-03-18 09:01:28.836821045,P
2438.040113541874,2025-03-18 09:01:28.836821045,P
1633.6041119548463,2025-03-18 09:01:28.836821045,P
1672.2789197234533,2025-03-18 09:01:28.836821045,P
1695.4838043846175,2025-03-18 09:01:28.836821045,P
1710.9537274920604,2025-03-18 09:01:28.836821045,P
1726.4236505995034,2025-03-18 09:01:28.836821045,P
1734.1586121532248,2025-03-18 09:01:28.836821045,P
1741.8935737069462,2025-03-18 09:01:28.836821045,P
1757.363496814389,2025-03-18 09:01:28.836821045,P
3621.489231261251,2025-03-18 09:01:28.836821045,P
2600.4743061700237,2025-03-18 09:01:28.836821045,P
3675.633962137301,2025-03-18 09:01:28.860729248,P
3667.8990005835794,2025-03-18 09:01:28.860729248,P
3660.164039029858,2025-03-18 09:01:28.860729248,P
3691.103885244744,2025-03-18 09:01:28.860729248,P
2391.6303442195453,2025-03-18 09:01:28.860729248,P
2089.96684362441,2025-03-18 09:01:28.860729248,P
2128.641651393017,2025-03-18 09:01:28.860729248,P
2159.5814976079027,2025-03-18 09:01:28.860729248,P
2182.786382269067,2025-03-18 09:01:28.860729248,P
2205.991266930231,2025-03-18 09:01:28.860729248,P
2213.7262284839526,2025-03-18 09:01:28.860729248,P
2229.1961515913954,2025-03-18 09:01:28.860729248,P
2244.666074698838,2025-03-18 09:01:28.860729248,P
2267.870959360003,2025-03-18 09:01:28.860729248,P
2298.8108055748885,2025-03-18 09:01:28.860729248,P
2322.0156902360527,2025-03-18 09:01:28.860729248,P
2337.4856133434955,2025-03-18 09:01:28.860729248,P
2345.220574897217,2025-03-18 09:01:28.860729248,P
2360.6904980046597,2025-03-18 09:01:28.860729248,P
2368.425459558381,2025-03-18 09:01:28.860729248,P
2376.1604211121025,2025-03-18 09:01:28.860729248,P
2422.570190434431,2025-03-18 09:01:28.860729248,P
2066.761958963246,2025-03-18 09:01:28.860729248,P
3745.248616120794,2025-03-18 09:01:28.884637451,P
3714.3087699059083,2025-03-18 09:01:28.884637451,P
4557.419579261543,2025-03-18 09:01:28.908545654,P
4131.996693806865,2025-03-18 09:01:28.908545654,P
4155.201578468029,2025-03-18 09:01:28.908545654,P
4170.671501575472,2025-03-18 09:01:28.908545654,P
4178.406463129193,2025-03-18 09:01:28.908545654,P
4186.1414246829145,2025-03-18 09:01:28.908545654,P
4193.876386236636,2025-03-18 09:01:28.908545654,P
4201.611347790357,2025-03-18 09:01:28.908545654,P
4116.526770699422,2025-03-18 09:01:28.908545654,P
4209.346309344079,2025-03-18 09:01:28.908545654,P
4248.021117112686,2025-03-18 09:01:28.908545654,P
4286.695924881293,2025-03-18 09:01:28.908545654,P
4340.840655757343,2025-03-18 09:01:28.908545654,P
4379.51546352595,2025-03-18 09:01:28.908545654,P
4456.865079063164,2025-03-18 09:01:28.908545654,P
4495.539886831771,2025-03-18 09:01:28.908545654,P
4534.214694600379,2025-03-18 09:01:28.908545654,P
4217.0812708978,2025-03-18 09:01:28.908545654,P
4085.5869244845358,2025-03-18 09:01:28.908545654,P
4015.972270501043,2025-03-18 09:01:28.908545654,P
4046.9121167159287,2025-03-18 09:01:28.908545654,P
3760.7185392282368,2025-03-18 09:01:28.908545654,P
3776.1884623356796,2025-03-18 09:01:28.908545654,P
3791.6583854431224,2025-03-18 09:01:28.908545654,P
4070.117001377093,2025-03-18 09:01:28.908545654,P
3822.598231658008,2025-03-18 09:01:28.908545654,P
3830.3331932117294,2025-03-18 09:01:28.908545654,P
3845.803116319172,2025-03-18 09:01:28.908545654,P
3861.273039426615,2025-03-18 09:01:28.908545654,P
3876.742962534058,2025-03-18 09:01:28.908545654,P
3807.128308550565,2025-03-18 09:01:28.908545654,P
3899.947847195222,2025-03-18 09:01:28.908545654,P
3923.1527318563863,2025-03-18 09:01:28.908545654,P
3938.6226549638295,2025-03-18 09:01:28.908545654,P
3969.5625011787147,2025-03-18 09:01:28.908545654,P
3985.0324242861575,2025-03-18 09:01:28.908545654,P
4023.7072320547645,2025-03-18 09:01:28.908545654,P
4039.1771551622073,2025-03-18 09:01:28.908545654,P
