distance,time,phase
180.588733798604,2025-06-23 10:11:18.926792969,P
180.6865082717946,2025-06-23 10:11:18.926792969,P
57.39289757845108,2025-06-23 10:11:18.926792969,P
205.32567551582517,2025-06-23 10:11:18.926792969,P
205.37456275242047,2025-06-23 10:11:18.927536377,P
205.61899893539697,2025-06-23 10:11:18.927536377,P
72.59682815958902,2025-06-23 10:11:18.927536377,P
72.54794092299372,2025-06-23 10:11:18.927536377,P
72.49905368639843,2025-06-23 10:11:18.927536377,P
205.47233722561106,2025-06-23 10:11:18.927536377,P
205.52122446220636,2025-06-23 10:11:18.927536377,P
57.24623586866518,2025-06-23 10:11:18.927536377,P
57.00179968568869,2025-06-23 10:11:18.927536377,P
180.2465231424369,2025-06-23 10:11:18.927536377,P
180.2954103790322,2025-06-23 10:11:18.927536377,P
180.4420720888181,2025-06-23 10:11:18.927536377,P
205.66788617199225,2025-06-23 10:11:18.928279785,P
56.90402521249809,2025-06-23 10:11:18.928279785,P
73.7212346012809,2025-06-23 10:11:18.928279785,P
73.67234736468559,2025-06-23 10:11:18.928279785,P
73.6234601280903,2025-06-23 10:11:18.928279785,P
73.5256856548997,2025-06-23 10:11:18.928279785,P
73.4767984183044,2025-06-23 10:11:18.928279785,P
73.3790239451138,2025-06-23 10:11:18.928279785,P
73.2812494719232,2025-06-23 10:11:18.928279785,P
73.03681328894672,2025-06-23 10:11:18.928279785,P
205.71677340858756,2025-06-23 10:11:18.928279785,P
72.93903881575612,2025-06-23 10:11:18.928279785,P
72.89015157916081,2025-06-23 10:11:18.928279785,P
72.74348986937493,2025-06-23 10:11:18.928279785,P
72.69460263277962,2025-06-23 10:11:18.928279785,P
180.19763590584162,2025-06-23 10:11:18.928279785,P
180.099861432651,2025-06-23 10:11:18.928279785,P
73.1834749987326,2025-06-23 10:11:18.928279785,P
72.64571539618431,2025-06-23 10:11:18.928279785,P
206.01009682815936,2025-06-23 10:11:18.929023193,P
205.91232235496875,2025-06-23 10:11:18.929023193,P
206.10787130134995,2025-06-23 10:11:18.929023193,P
205.81454788177817,2025-06-23 10:11:18.929023193,P
73.86789631106679,2025-06-23 10:11:18.929023193,P
179.95319972286512,2025-06-23 10:11:18.929023193,P
180.0020869594604,2025-06-23 10:11:18.929023193,P
180.0509741960557,2025-06-23 10:11:18.929023193,P
56.5129273197357,2025-06-23 10:11:18.929023193,P
56.6107017929263,2025-06-23 10:11:18.929023193,P
56.757363502712195,2025-06-23 10:11:18.929023193,P
73.8190090744715,2025-06-23 10:11:18.929023193,P
206.20564577454056,2025-06-23 10:11:18.929766357,P
206.35230748432645,2025-06-23 10:11:18.929766357,P
206.54785643070764,2025-06-23 10:11:18.929766357,P
179.70876353988862,2025-06-23 10:11:18.929766357,P
73.91678354766209,2025-06-23 10:11:18.929766357,P
179.610989066698,2025-06-23 10:11:18.929766357,P
179.56210183010273,2025-06-23 10:11:18.929766357,P
74.11233249404329,2025-06-23 10:11:18.929766357,P
74.063445257448,2025-06-23 10:11:18.929766357,P
73.96567078425738,2025-06-23 10:11:18.929766357,P
179.75765077648393,2025-06-23 10:11:18.929766357,P
56.3662656099498,2025-06-23 10:11:18.929766357,P
56.219603900163904,2025-06-23 10:11:18.929766357,P
179.8554252496745,2025-06-23 10:11:18.929766357,P
74.21010696723388,2025-06-23 10:11:18.930509766,P
74.30788144042448,2025-06-23 10:11:18.930509766,P
56.219603900163904,2025-06-23 10:11:18.930509766,P
56.02405495378271,2025-06-23 10:11:18.930509766,P
55.92628048059211,2025-06-23 10:11:18.930509766,P
206.74340537708883,2025-06-23 10:11:18.930509766,P
206.84117985027942,2025-06-23 10:11:18.930509766,P
206.89006708687472,2025-06-23 10:11:18.930509766,P
206.69451814049353,2025-06-23 10:11:18.930509766,P
206.98784156006533,2025-06-23 10:11:18.930509766,P
179.56210183010273,2025-06-23 10:11:18.930509766,P
179.46432735691212,2025-06-23 10:11:18.930509766,P
206.93895432347003,2025-06-23 10:11:18.930509766,P
179.31766564712623,2025-06-23 10:11:18.930509766,P
179.41544012031682,2025-06-23 10:11:18.930509766,P
179.26877841053093,2025-06-23 10:11:18.930509766,P
207.08561603325592,2025-06-23 10:11:18.930509766,P
