distance,picks,Phase,channel
1766.4,2025-03-18 09:01:28.836820992,P,184
1776.0,2025-03-18 09:01:28.836820992,P,185
1785.6,2025-03-18 09:01:28.836820992,P,186
1795.2,2025-03-18 09:01:28.836820992,P,187
1804.8,2025-03-18 09:01:28.836820992,P,188
1814.4,2025-03-18 09:01:28.836820992,P,189
1824.0,2025-03-18 09:01:28.836820992,P,190
1833.6,2025-03-18 09:01:28.836820992,P,191
1843.2,2025-03-18 09:01:28.836820992,P,192
1852.8,2025-03-18 09:01:28.836820992,P,193
1862.4,2025-03-18 09:01:28.836820992,P,194
1872.0,2025-03-18 09:01:28.836820992,P,195
1881.6,2025-03-18 09:01:28.836820992,P,196
1891.2,2025-03-18 09:01:28.836820992,P,197
1900.8,2025-03-18 09:01:28.836820992,P,198
1910.4,2025-03-18 09:01:28.836820992,P,199
1920.0,2025-03-18 09:01:28.836820992,P,200
1929.6,2025-03-18 09:01:28.836820992,P,201
1939.2,2025-03-18 09:01:28.836820992,P,202
1948.8,2025-03-18 09:01:28.836820992,P,203
1958.4,2025-03-18 09:01:28.836820992,P,204
1968.0,2025-03-18 09:01:28.836820992,P,205
1977.6,2025-03-18 09:01:28.836820992,P,206
1987.2,2025-03-18 09:01:28.836820992,P,207
1996.8,2025-03-18 09:01:28.836820992,P,208
2006.4,2025-03-18 09:01:28.836820992,P,209
2016.0,2025-03-18 09:01:28.836820992,P,210
2025.6,2025-03-18 09:01:28.836820992,P,211
2035.2,2025-03-18 09:01:28.836820992,P,212
2044.8,2025-03-18 09:01:28.838101504,P,213
2054.4,2025-03-18 09:01:28.847992576,P,214
2064.0,2025-03-18 09:01:28.857883648,P,215
2073.6,2025-03-18 09:01:28.860729344,P,216
2083.2,2025-03-18 09:01:28.860729344,P,217
2092.8,2025-03-18 09:01:28.860729344,P,218
2102.4,2025-03-18 09:01:28.860729344,P,219
2112.0,2025-03-18 09:01:28.860729344,P,220
2121.6,2025-03-18 09:01:28.860729344,P,221
2131.2,2025-03-18 09:01:28.860729344,P,222
2140.8,2025-03-18 09:01:28.860729344,P,223
2150.4,2025-03-18 09:01:28.860729344,P,224
2160.0,2025-03-18 09:01:28.860729344,P,225
2169.6,2025-03-18 09:01:28.860729344,P,226
2179.2,2025-03-18 09:01:28.860729344,P,227
2188.8,2025-03-18 09:01:28.860729344,P,228
2198.4,2025-03-18 09:01:28.860729344,P,229
2208.0,2025-03-18 09:01:28.860729344,P,230
2217.6,2025-03-18 09:01:28.860729344,P,231
2227.2,2025-03-18 09:01:28.860729344,P,232
2236.8,2025-03-18 09:01:28.860729344,P,233
2246.4,2025-03-18 09:01:28.860729344,P,234
2256.0,2025-03-18 09:01:28.860729344,P,235
2265.6,2025-03-18 09:01:28.860729344,P,236
2275.2,2025-03-18 09:01:28.860729344,P,237
2284.8,2025-03-18 09:01:28.860729344,P,238
2294.4,2025-03-18 09:01:28.860729344,P,239
2304.0,2025-03-18 09:01:28.860729344,P,240
2313.6,2025-03-18 09:01:28.860729344,P,241
2323.2,2025-03-18 09:01:28.860729344,P,242
2332.8,2025-03-18 09:01:28.860729344,P,243
2342.4,2025-03-18 09:01:28.860729344,P,244
2352.0,2025-03-18 09:01:28.860729344,P,245
2361.6,2025-03-18 09:01:28.860729344,P,246
2371.2,2025-03-18 09:01:28.860729344,P,247
2380.8,2025-03-18 09:01:28.860729344,P,248
2390.4,2025-03-18 09:01:28.860729344,P,249
2400.0,2025-03-18 09:01:28.860729344,P,250
2409.6,2025-03-18 09:01:28.860729344,P,251
2419.2,2025-03-18 09:01:28.860729344,P,252
2428.8,2025-03-18 09:01:28.851101440,P,253
2438.4,2025-03-18 09:01:28.836820992,P,254
2448.0,2025-03-18 09:01:28.836820992,P,255
2457.6,2025-03-18 09:01:28.836820992,P,256
2467.2,2025-03-18 09:01:28.836820992,P,257
2476.8,2025-03-18 09:01:28.836820992,P,258
2486.4,2025-03-18 09:01:28.836820992,P,259
2496.0,2025-03-18 09:01:28.836820992,P,260
2505.6,2025-03-18 09:01:28.836820992,P,261
2515.2,2025-03-18 09:01:28.836820992,P,262
2524.8,2025-03-18 09:01:28.836820992,P,263
2534.4,2025-03-18 09:01:28.836820992,P,264
2544.0,2025-03-18 09:01:28.836820992,P,265
2553.6,2025-03-18 09:01:28.836820992,P,266
2563.2,2025-03-18 09:01:28.836820992,P,267
2572.8,2025-03-18 09:01:28.836820992,P,268
2582.4,2025-03-18 09:01:28.836820992,P,269
2592.0,2025-03-18 09:01:28.836820992,P,270
2601.6,2025-03-18 09:01:28.836820992,P,271
2611.2,2025-03-18 09:01:28.836820992,P,272
2620.8,2025-03-18 09:01:28.836820992,P,273
2630.4,2025-03-18 09:01:28.836820992,P,274
2640.0,2025-03-18 09:01:28.836820992,P,275
2649.6,2025-03-18 09:01:28.836820992,P,276
2659.2,2025-03-18 09:01:28.836820992,P,277
2668.8,2025-03-18 09:01:28.836820992,P,278
2678.4,2025-03-18 09:01:28.836820992,P,279
2688.0,2025-03-18 09:01:28.836820992,P,280
2697.6,2025-03-18 09:01:28.836820992,P,281
2707.2,2025-03-18 09:01:28.836820992,P,282
2716.8,2025-03-18 09:01:28.836820992,P,283
2726.4,2025-03-18 09:01:28.836820992,P,284
2736.0,2025-03-18 09:01:28.836820992,P,285
2745.6,2025-03-18 09:01:28.836820992,P,286
2755.2,2025-03-18 09:01:28.830823424,P,287
2764.8,2025-03-18 09:01:28.823405312,P,288
2774.4,2025-03-18 09:01:28.815987200,P,289
2784.0,2025-03-18 09:01:28.812912896,P,290
2793.6,2025-03-18 09:01:28.812912896,P,291
2803.2,2025-03-18 09:01:28.811663616,P,292
2812.8,2025-03-18 09:01:28.804245248,P,293
2822.4,2025-03-18 09:01:28.796827136,P,294
2832.0,2025-03-18 09:01:28.789408768,P,295
2841.6,2025-03-18 09:01:28.789004544,P,296
2851.2,2025-03-18 09:01:28.789004544,P,297
2860.8,2025-03-18 09:01:28.789004544,P,298
2870.4,2025-03-18 09:01:28.789004544,P,299
2880.0,2025-03-18 09:01:28.789004544,P,300
2889.6,2025-03-18 09:01:28.789004544,P,301
2899.2,2025-03-18 09:01:28.789004544,P,302
2908.8,2025-03-18 09:01:28.782140416,P,303
2918.4,2025-03-18 09:01:28.772249600,P,304
2928.0,2025-03-18 09:01:28.765096448,P,305
2937.6,2025-03-18 09:01:28.765096448,P,306
2947.2,2025-03-18 09:01:28.765096448,P,307
2956.8,2025-03-18 09:01:28.765096448,P,308
2966.4,2025-03-18 09:01:28.765096448,P,309
2976.0,2025-03-18 09:01:28.765096448,P,310
2985.6,2025-03-18 09:01:28.765096448,P,311
2995.2,2025-03-18 09:01:28.765096448,P,312
3004.8,2025-03-18 09:01:28.765096448,P,313
3014.4,2025-03-18 09:01:28.762026496,P,314
3024.0,2025-03-18 09:01:28.754608384,P,315
3033.6,2025-03-18 09:01:28.747190272,P,316
3043.2,2025-03-18 09:01:28.741188352,P,317
3052.8,2025-03-18 09:01:28.741188352,P,318
3062.4,2025-03-18 09:01:28.741188352,P,319
3072.0,2025-03-18 09:01:28.741188352,P,320
3081.6,2025-03-18 09:01:28.741188352,P,321
3091.2,2025-03-18 09:01:28.741188352,P,322
3100.8,2025-03-18 09:01:28.741188352,P,323
3110.4,2025-03-18 09:01:28.741188352,P,324
3120.0,2025-03-18 09:01:28.741188352,P,325
3129.6,2025-03-18 09:01:28.741188352,P,326
3139.2,2025-03-18 09:01:28.741188352,P,327
3148.8,2025-03-18 09:01:28.741188352,P,328
3158.4,2025-03-18 09:01:28.741188352,P,329
3168.0,2025-03-18 09:01:28.741188352,P,330
3177.6,2025-03-18 09:01:28.741188352,P,331
3187.2,2025-03-18 09:01:28.741188352,P,332
3196.8,2025-03-18 09:01:28.741188352,P,333
3206.4,2025-03-18 09:01:28.741188352,P,334
3216.0,2025-03-18 09:01:28.741188352,P,335
3225.6,2025-03-18 09:01:28.741188352,P,336
3235.2,2025-03-18 09:01:28.741188352,P,337
3244.8,2025-03-18 09:01:28.741188352,P,338
3254.4,2025-03-18 09:01:28.741188352,P,339
3264.0,2025-03-18 09:01:28.741188352,P,340
3273.6,2025-03-18 09:01:28.741188352,P,341
3283.2,2025-03-18 09:01:28.741188352,P,342
3292.8,2025-03-18 09:01:28.741188352,P,343
3302.4,2025-03-18 09:01:28.741188352,P,344
3312.0,2025-03-18 09:01:28.741188352,P,345
3321.6,2025-03-18 09:01:28.741188352,P,346
3331.2,2025-03-18 09:01:28.741188352,P,347
3340.8,2025-03-18 09:01:28.741188352,P,348
3350.4,2025-03-18 09:01:28.741188352,P,349
3360.0,2025-03-18 09:01:28.741188352,P,350
3369.6,2025-03-18 09:01:28.741188352,P,351
3379.2,2025-03-18 09:01:28.741188352,P,352
3388.8,2025-03-18 09:01:28.741188352,P,353
3398.4,2025-03-18 09:01:28.741188352,P,354
3408.0,2025-03-18 09:01:28.741188352,P,355
3417.6,2025-03-18 09:01:28.741188352,P,356
3427.2,2025-03-18 09:01:28.741188352,P,357
3436.8,2025-03-18 09:01:28.741188352,P,358
3446.4,2025-03-18 09:01:28.741188352,P,359
3456.0,2025-03-18 09:01:28.741188352,P,360
3465.6,2025-03-18 09:01:28.741188352,P,361
3475.2,2025-03-18 09:01:28.746387200,P,362
3484.8,2025-03-18 09:01:28.752321792,P,363
3494.4,2025-03-18 09:01:28.758256384,P,364
3504.0,2025-03-18 09:01:28.764190976,P,365
3513.6,2025-03-18 09:01:28.769287424,P,366
3523.2,2025-03-18 09:01:28.774232832,P,367
3532.8,2025-03-18 09:01:28.779178240,P,368
3542.4,2025-03-18 09:01:28.784123648,P,369
3552.0,2025-03-18 09:01:28.789082112,P,370
3561.6,2025-03-18 09:01:28.795016704,P,371
3571.2,2025-03-18 09:01:28.800951296,P,372
3580.8,2025-03-18 09:01:28.806885888,P,373
3590.4,2025-03-18 09:01:28.812820480,P,374
3600.0,2025-03-18 09:01:28.820215552,P,375
3609.6,2025-03-18 09:01:28.827633920,P,376
3619.2,2025-03-18 09:01:28.835052032,P,377
3628.8,2025-03-18 09:01:28.836820992,P,378
3638.4,2025-03-18 09:01:28.836820992,P,379
3648.0,2025-03-18 09:01:28.836820992,P,380
3657.6,2025-03-18 09:01:28.852804096,P,381
3667.2,2025-03-18 09:01:28.860729344,P,382
3676.8,2025-03-18 09:01:28.860729344,P,383
3686.4,2025-03-18 09:01:28.860729344,P,384
3696.0,2025-03-18 09:01:28.865773824,P,385
3705.6,2025-03-18 09:01:28.875664640,P,386
3715.2,2025-03-18 09:01:28.884637440,P,387
3724.8,2025-03-18 09:01:28.884637440,P,388
3734.4,2025-03-18 09:01:28.884637440,P,389
3744.0,2025-03-18 09:01:28.884637440,P,390
3753.6,2025-03-18 09:01:28.897544192,P,391
3763.2,2025-03-18 09:01:28.908545536,P,392
3772.8,2025-03-18 09:01:28.908545536,P,393
3782.4,2025-03-18 09:01:28.908545536,P,394
3792.0,2025-03-18 09:01:28.908545536,P,395
3801.6,2025-03-18 09:01:28.908545536,P,396
3811.2,2025-03-18 09:01:28.908545536,P,397
3820.8,2025-03-18 09:01:28.908545536,P,398
3830.4,2025-03-18 09:01:28.908545536,P,399
3840.0,2025-03-18 09:01:28.908545536,P,400
3849.6,2025-03-18 09:01:28.908545536,P,401
3859.2,2025-03-18 09:01:28.908545536,P,402
3868.8,2025-03-18 09:01:28.908545536,P,403
3878.4,2025-03-18 09:01:28.908545536,P,404
3888.0,2025-03-18 09:01:28.908545536,P,405
3897.6,2025-03-18 09:01:28.908545536,P,406
3907.2,2025-03-18 09:01:28.908545536,P,407
3916.8,2025-03-18 09:01:28.908545536,P,408
3926.4,2025-03-18 09:01:28.908545536,P,409
3936.0,2025-03-18 09:01:28.908545536,P,410
3945.6,2025-03-18 09:01:28.908545536,P,411
3955.2,2025-03-18 09:01:28.908545536,P,412
3964.8,2025-03-18 09:01:28.908545536,P,413
3974.4,2025-03-18 09:01:28.908545536,P,414
3984.0,2025-03-18 09:01:28.908545536,P,415
3993.6,2025-03-18 09:01:28.908545536,P,416
4003.2,2025-03-18 09:01:28.908545536,P,417
4012.8,2025-03-18 09:01:28.908545536,P,418
4022.4,2025-03-18 09:01:28.908545536,P,419
4032.0,2025-03-18 09:01:28.908545536,P,420
4041.6,2025-03-18 09:01:28.908545536,P,421
4051.2,2025-03-18 09:01:28.908545536,P,422
4060.8,2025-03-18 09:01:28.908545536,P,423
4070.4,2025-03-18 09:01:28.908545536,P,424
4080.0,2025-03-18 09:01:28.908545536,P,425
4089.6,2025-03-18 09:01:28.908545536,P,426
4099.2,2025-03-18 09:01:28.908545536,P,427
4108.8,2025-03-18 09:01:28.908545536,P,428
4118.4,2025-03-18 09:01:28.908545536,P,429
4128.0,2025-03-18 09:01:28.908545536,P,430
4137.6,2025-03-18 09:01:28.908545536,P,431
4147.2,2025-03-18 09:01:28.908545536,P,432
4156.8,2025-03-18 09:01:28.908545536,P,433
4166.4,2025-03-18 09:01:28.908545536,P,434
4176.0,2025-03-18 09:01:28.908545536,P,435
4185.6,2025-03-18 09:01:28.908545536,P,436
4195.2,2025-03-18 09:01:28.908545536,P,437
4204.8,2025-03-18 09:01:28.908545536,P,438
4214.4,2025-03-18 09:01:28.908545536,P,439
4224.0,2025-03-18 09:01:28.908545536,P,440
4233.6,2025-03-18 09:01:28.908545536,P,441
4243.2,2025-03-18 09:01:28.908545536,P,442
4252.8,2025-03-18 09:01:28.908545536,P,443
4262.4,2025-03-18 09:01:28.908545536,P,444
4272.0,2025-03-18 09:01:28.908545536,P,445
4281.6,2025-03-18 09:01:28.908545536,P,446
4291.2,2025-03-18 09:01:28.908545536,P,447
4300.8,2025-03-18 09:01:28.908545536,P,448
4310.4,2025-03-18 09:01:28.908545536,P,449
4320.0,2025-03-18 09:01:28.908545536,P,450
4329.6,2025-03-18 09:01:28.908545536,P,451
4339.2,2025-03-18 09:01:28.908545536,P,452
4348.8,2025-03-18 09:01:28.908545536,P,453
4358.4,2025-03-18 09:01:28.908545536,P,454
4368.0,2025-03-18 09:01:28.908545536,P,455
4377.6,2025-03-18 09:01:28.908545536,P,456
4387.2,2025-03-18 09:01:28.908545536,P,457
4396.8,2025-03-18 09:01:28.908545536,P,458
4406.4,2025-03-18 09:01:28.908545536,P,459
4416.0,2025-03-18 09:01:28.908545536,P,460
4425.6,2025-03-18 09:01:28.908545536,P,461
4435.2,2025-03-18 09:01:28.908545536,P,462
4444.8,2025-03-18 09:01:28.908545536,P,463
4454.4,2025-03-18 09:01:28.908545536,P,464
4464.0,2025-03-18 09:01:28.908545536,P,465
4473.6,2025-03-18 09:01:28.908545536,P,466
4483.2,2025-03-18 09:01:28.908545536,P,467
4492.8,2025-03-18 09:01:28.908545536,P,468
4502.4,2025-03-18 09:01:28.908545536,P,469
4512.0,2025-03-18 09:01:28.908545536,P,470
4521.6,2025-03-18 09:01:28.908545536,P,471
4531.2,2025-03-18 09:01:28.908545536,P,472
4540.8,2025-03-18 09:01:28.908545536,P,473
4550.4,2025-03-18 09:01:28.908545536,P,474
4560.0,2025-03-18 09:01:28.912533504,P,475
4569.6,2025-03-18 09:01:28.927369984,P,476
4579.2,2025-03-18 09:01:28.932453888,P,477
4588.8,2025-03-18 09:01:28.932453888,P,478
4598.4,2025-03-18 09:01:28.936017152,P,479
4608.0,2025-03-18 09:01:28.950853376,P,480
4617.6,2025-03-18 09:01:28.962580736,P,481
4627.2,2025-03-18 09:01:28.972471552,P,482
4636.8,2025-03-18 09:01:28.983408896,P,483
4646.4,2025-03-18 09:01:28.998245120,P,484
4656.0,2025-03-18 09:01:29.013081600,P,485
4665.6,2025-03-18 09:01:29.027918336,P,486
4675.2,2025-03-18 09:01:29.028086784,P,487
4684.8,2025-03-18 09:01:29.028086784,P,488
4694.4,2025-03-18 09:01:29.028086784,P,489
4704.0,2025-03-18 09:01:29.035660544,P,490
4713.6,2025-03-18 09:01:29.045551616,P,491
4723.2,2025-03-18 09:01:29.057166336,P,492
4732.8,2025-03-18 09:01:29.072002816,P,493
4742.4,2025-03-18 09:01:29.075902976,P,494
4752.0,2025-03-18 09:01:29.077145856,P,495
4761.6,2025-03-18 09:01:29.087036928,P,496
4771.2,2025-03-18 09:01:29.096928000,P,497
4780.8,2025-03-18 09:01:29.105067008,P,498
4790.4,2025-03-18 09:01:29.112485120,P,499
4800.0,2025-03-18 09:01:29.119903488,P,500
4809.6,2025-03-18 09:01:29.127321600,P,501
4819.2,2025-03-18 09:01:29.134739968,P,502
4828.8,2025-03-18 09:01:29.142158080,P,503
4838.4,2025-03-18 09:01:29.149576448,P,504
4848.0,2025-03-18 09:01:29.156994816,P,505
4857.6,2025-03-18 09:01:29.164412928,P,506
4867.2,2025-03-18 09:01:29.171536128,P,507
4876.8,2025-03-18 09:01:29.171536128,P,508
4886.4,2025-03-18 09:01:29.171536128,P,509
4896.0,2025-03-18 09:01:29.171536128,P,510
4905.6,2025-03-18 09:01:29.171536128,P,511
4915.2,2025-03-18 09:01:29.171536128,P,512
4924.8,2025-03-18 09:01:29.171536128,P,513
4934.4,2025-03-18 09:01:29.171536128,P,514
4944.0,2025-03-18 09:01:29.171536128,P,515
4953.6,2025-03-18 09:01:29.177367040,P,516
4963.2,2025-03-18 09:01:29.183301632,P,517
4972.8,2025-03-18 09:01:29.189236224,P,518
4982.4,2025-03-18 09:01:29.195170816,P,519
4992.0,2025-03-18 09:01:29.195444224,P,520
5001.6,2025-03-18 09:01:29.195444224,P,521
5011.2,2025-03-18 09:01:29.195444224,P,522
5020.8,2025-03-18 09:01:29.195444224,P,523
5030.4,2025-03-18 09:01:29.200935424,P,524
5040.0,2025-03-18 09:01:29.206870016,P,525
5049.6,2025-03-18 09:01:29.212804608,P,526
5059.2,2025-03-18 09:01:29.218739200,P,527
5068.8,2025-03-18 09:01:29.219352576,P,528
5078.4,2025-03-18 09:01:29.219352576,P,529
5088.0,2025-03-18 09:01:29.219352576,P,530
5097.6,2025-03-18 09:01:29.219352576,P,531
5107.2,2025-03-18 09:01:29.219352576,P,532
5116.8,2025-03-18 09:01:29.219352576,P,533
5126.4,2025-03-18 09:01:29.219352576,P,534
5136.0,2025-03-18 09:01:29.219352576,P,535
5145.6,2025-03-18 09:01:29.219352576,P,536
5155.2,2025-03-18 09:01:29.219352576,P,537
