distance,latitude,longitude,altitude (m)
979.2000000000002,40.60297978348177,15.709641740853757,780.5
988.8000000000002,40.602991148790416,15.709529335623166,780.5
998.4000000000001,40.60300271024684,15.70941697384565,780.5
1008.0000000000001,40.60301428374645,15.709304495024616,780.5
1017.6000000000001,40.60302546683877,15.7091920515218,780.5
1027.2,40.603036303286146,15.709079533144907,780.5
1036.8000000000002,40.60304713973352,15.708967014768014,780.5
1046.4,40.6030576878339,15.708854456166344,780.5
1056.0,40.603068206105284,15.708741893403491,780.5
1065.6000000000001,40.60307855119149,15.708629300474763,780.5
1075.2,40.603088590916585,15.70851653519607,780.5
1084.8000000000002,40.603098620194515,15.70840388725898,780.5
1094.4,40.60310881193626,15.708291260075438,780.5
1104.0,40.6031190236297,15.708178635440579,780.5
1113.6000000000001,40.603129235323145,15.70806601080572,780.5
